wordInput,actionInput
move your bones !,bailar-event nothing-event
dance now,bailar-event nothing-event
everybody dance now,bailar-event nothing-event
show me what you got,bailar-event nothing-event
shake your moneymaker,bailar-event nothing-event
shake your groove thing,bailar-event nothing-event
shake your booty,bailar-event nothing-event
get down,bailar-event nothing-event
bust a move,bailar-event nothing-event
get your groove on,bailar-event nothing-event
cut a rug,bailar-event nothing-event
may I have this dance ?,bailar-event nothing-event
boogie,bailar-event nothing-event
boogie down,bailar-event nothing-event
kick up your heels,bailar-event nothing-event
