wordInput,actionInput
a mover el esqueleto,bailar-event nothing-event
mueve ese esqueleto,bailar-event nothing-event
mueve el esqueleto,bailar-event nothing-event
¡ a bailar !,bailar-event nothing-event
baila,bailar-event nothing-event
¿ bailas ?,bailar-event nothing-event
¿ bailamos ?,bailar-event nothing-event
bailemos,bailar-event nothing-event
"por favor , baila",bailar-event nothing-event
no pares de bailar,bailar-event nothing-event
vamos a bailar,bailar-event nothing-event
danza,bailar-event nothing-event
quiero ver tus movimientos,bailar-event nothing-event
sabor,bailar-event nothing-event
¡ muevete !,bailar-event nothing-event
azotar baldosa,bailar-event nothing-event
baila la samba,bailar-event nothing-event
titiru tiru tirutiru,bailar-event nothing-event
move your bones !,bailar-event nothing-event
dance now,bailar-event nothing-event
everybody dance now,bailar-event nothing-event
show me what you got,bailar-event nothing-event
shake your moneymaker,bailar-event nothing-event
shake your groove thing,bailar-event nothing-event
shake your booty,bailar-event nothing-event
get down,bailar-event nothing-event
bust a move,bailar-event nothing-event
get your groove on,bailar-event nothing-event
cut a rug,bailar-event nothing-event
may I have this dance ?,bailar-event nothing-event
boogie,bailar-event nothing-event
boogie down,bailar-event nothing-event
kick up your heels,bailar-event nothing-event
