wordInput,actionInput
{direccion},nothing-event {argumento}-event
por favor {direccion},nothing-event {argumento}-event
quiero que te {direccion},nothing-event {argumento}-event
¿ podrias {direccion} ?,nothing-event {argumento}-event
{direccion} por favor,nothing-event {argumento}-event
mover hacia,mover-event nothing-event
mover a,mover-event nothing-event
mover para,mover-event nothing-event
por favor mover hacia,mover-event nothing-event
por favor mover a,mover-event nothing-event
por favor mover para,mover-event nothing-event
quiero que te muevas hacia,mover-event nothing-event
quiero que te muevas a,mover-event nothing-event
quiero que te muevas para,mover-event nothing-event
moverse hacia,mover-event nothing-event
moverse a,mover-event nothing-event
moverse para,mover-event nothing-event
¿ podrias moverlo hacia ?,mover-event nothing-event
¿ podrias moverlo a ?,mover-event nothing-event
¿ podrias moverlo para ?,mover-event nothing-event
muevete hacia por favor,mover-event nothing-event
muevete a por favor,mover-event nothing-event
muevete para por favor,mover-event nothing-event
