wordInput,actionInput
hacia {direccion},nothing-event {argumento}-event
a {direccion},nothing-event {argumento}-event
para {direccion},nothing-event {argumento}-event
por favor hacia {direccion},nothing-event {argumento}-event
por favor a {direccion},nothing-event {argumento}-event
por favor para {direccion},nothing-event {argumento}-event
quiero que te hacia {direccion},nothing-event {argumento}-event
quiero que te a {direccion},nothing-event {argumento}-event
quiero que te para {direccion},nothing-event {argumento}-event
hacia {direccion},nothing-event {argumento}-event
a {direccion},nothing-event {argumento}-event
para {direccion},nothing-event {argumento}-event
¿ podrias hacia {direccion} ?,nothing-event {argumento}-event
¿ podrias a {direccion} ?,nothing-event {argumento}-event
¿ podrias para {direccion} ?,nothing-event {argumento}-event
hacia {direccion} por favor,nothing-event {argumento}-event
a {direccion} por favor,nothing-event {argumento}-event
para {direccion} por favor,nothing-event {argumento}-event
mover hacia,mover-event nothing-event
mover a,mover-event nothing-event
mover para,mover-event nothing-event
por favor mover hacia,mover-event nothing-event
por favor mover a,mover-event nothing-event
por favor mover para,mover-event nothing-event
quiero que te muevas hacia,mover-event nothing-event
quiero que te muevas a,mover-event nothing-event
quiero que te muevas para,mover-event nothing-event
moverse hacia,mover-event nothing-event
moverse a,mover-event nothing-event
moverse para,mover-event nothing-event
¿ podrias moverlo hacia ?,mover-event nothing-event
¿ podrias moverlo a ?,mover-event nothing-event
¿ podrias moverlo para ?,mover-event nothing-event
muevete hacia por favor,mover-event nothing-event
muevete a por favor,mover-event nothing-event
muevete para por favor,mover-event nothing-event
