wordInput,actionInput
mover hacia {direccion},mover-event {argumento}-event
mover a {direccion},mover-event {argumento}-event
mover para {direccion},mover-event {argumento}-event
por favor mover hacia {direccion},mover-event {argumento}-event
por favor mover a {direccion},mover-event {argumento}-event
por favor mover para {direccion},mover-event {argumento}-event
quiero que te muevas hacia {direccion},mover-event {argumento}-event
quiero que te muevas a {direccion},mover-event {argumento}-event
quiero que te muevas para  {direccion},mover-event {argumento}-event
moverse hacia {direccion},mover-event {argumento}-event
moverse a {direccion},mover-event {argumento}-event
moverse para {direccion},mover-event {argumento}-event
¿ podrias moverlo hacia {direccion} ?,mover-event {argumento}-event
¿ podrias moverlo a {direccion} ?,mover-event {argumento}-event
¿ podrias moverlo para {direccion} ?,mover-event {argumento}-event
muevete hacia {direccion} por favor,mover-event {argumento}-event
muevete a {direccion} por favor,mover-event {argumento}-event
muevete para {direccion} por favor,mover-event {argumento}-event
